Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
j'ai,2.39,2.49,0.10000000000000009,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.39,702.49
semaine,2.06,2.39,0.33000000000000007,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.06,702.39
une,2.0,2.06,0.06000000000000005,99_Parent_CA-MD-GD,Parent,CA-MD-GD,702.0,702.06
fait,1.88,2.0,0.1200000000000001,99_Parent_CA-MD-GD,Parent,CA-MD-GD,701.88,702.0
ça,1.66,1.88,0.21999999999999997,99_Parent_CA-MD-GD,Parent,CA-MD-GD,701.66,701.88
là,1.54,1.66,0.11999999999999988,99_Parent_CA-MD-GD,Parent,CA-MD-GD,701.54,701.66
fatigué,1.1,1.54,0.43999999999999995,99_Parent_CA-MD-GD,Parent,CA-MD-GD,701.1,701.54
suis,0.99,1.1,0.1100000000000001,99_Parent_CA-MD-GD,Parent,CA-MD-GD,700.99,701.1
vois,0.87,0.99,0.12,99_Parent_CA-MD-GD,Parent,CA-MD-GD,700.87,700.99
Tu,0.81,0.87,0.05999999999999994,99_Parent_CA-MD-GD,Parent,CA-MD-GD,700.81,700.87
oui,0.62,0.81,0.19000000000000006,99_Parent_CA-MD-GD,Parent,CA-MD-GD,700.62,700.81
Ah,0.48,0.62,0.14,99_Parent_CA-MD-GD,Parent,CA-MD-GD,700.48,700.62
là,18.75,18.9,0.14999999999999858,99_Parent_CA-MB-LB,Parent,CA-MB-LB,924.75,924.9
jeu,13.97,14.04,0.06999999999999851,99_Parent_CA-MB-LB,Parent,CA-MB-LB,919.97,920.04
comme,13.53,13.88,0.3500000000000014,99_Parent_CA-MB-LB,Parent,CA-MB-LB,919.53,919.88
d'autre,12.99,13.3,0.3100000000000005,99_Parent_CA-MB-LB,Parent,CA-MB-LB,918.99,919.3
faire,12.83,12.99,0.16000000000000014,99_Parent_CA-MB-LB,Parent,CA-MB-LB,918.83,918.99
voudrais,12.19,12.69,0.5,99_Parent_CA-MB-LB,Parent,CA-MB-LB,918.19,918.69
tu,11.97,12.19,0.21999999999999886,99_Parent_CA-MB-LB,Parent,CA-MB-LB,917.97,918.19
que,11.37,11.97,0.6000000000000014,99_Parent_CA-MB-LB,Parent,CA-MB-LB,917.37,917.97
Qu'est-ce,10.81,11.37,0.5599999999999987,99_Parent_CA-MB-LB,Parent,CA-MB-LB,916.81,917.37
Okay,7.4,7.9,0.5,99_Parent_CA-MB-LB,Parent,CA-MB-LB,913.4,913.9
ça,2.34,2.48,0.14000000000000012,99_Parent_CA-MB-LB,Parent,CA-MB-LB,908.34,908.48
c'est,2.23,2.34,0.10999999999999988,99_Parent_CA-MB-LB,Parent,CA-MB-LB,908.23,908.34
là,1.84,2.01,0.1699999999999997,99_Parent_CA-MB-LB,Parent,CA-MB-LB,907.84,908.01
panda,1.48,1.84,0.3600000000000001,99_Parent_CA-MB-LB,Parent,CA-MB-LB,907.48,907.84
huh,0.57,0.75,0.18000000000000005,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.57,906.75
balle,0.44,0.57,0.12999999999999995,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.44,906.57
petite,0.31,0.44,0.13,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.31,906.44
