UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
102_Parent_CA-BO-IO,Parent,['CA-BO-IO'],969.7,965.21,1.85,['Parent'],['102_Parent_CA-BO-IO'],7,9,2.0044543429844057
215_Child_CA-BO-IO,Child,['CA-BO-IO'],973.86,973.02,0.8399999999999999,['Child'],['215_Child_CA-BO-IO'],2,2,2.380952380952291
103_Parent_CA-BO-IO,Parent,['CA-BO-IO'],976.05,975.17,0.69,['Parent'],['103_Parent_CA-BO-IO'],2,4,4.545454545454569
216_Child_CA-BO-IO,Child,['CA-BO-IO'],997.17,980.38,5.669999999999999,['Child'],['216_Child_CA-BO-IO'],11,12,0.7147111375818955
104_Parent_CA-BO-IO,Parent,['CA-BO-IO'],996.59,991.29,3.36,['Parent'],['104_Parent_CA-BO-IO'],16,21,3.962264150943345
217_Child_CA-BO-IO,Child,['CA-BO-IO'],1000.82,999.04,1.5699999999999998,['Child'],['217_Child_CA-BO-IO'],2,2,1.123595505617923
218_Child_CA-BO-IO,Child,['CA-BO-IO'],1012.54,1003.0,1.4699999999999998,['Child'],['218_Child_CA-BO-IO'],4,5,0.5241090146750544
106_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1013.04,1005.11,1.0599999999999992,['Parent'],['106_Parent_CA-BO-IO'],4,3,0.37831021437579054
219_Child_CA-BO-IO,Child,['CA-BO-IO'],1017.13,1014.21,2.14,['Child'],['219_Child_CA-BO-IO'],6,10,3.4246575342466232
220_Child_CA-BO-IO,Child,['CA-BO-IO'],1019.64,1018.51,0.72,['Child'],['220_Child_CA-BO-IO'],2,4,3.539823008849572
221_Child_CA-BO-IO,Child,['CA-BO-IO'],1036.06,1021.01,5.890000000000001,['Child'],['221_Child_CA-BO-IO'],10,15,0.9966777408637904
108_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1043.98,1027.0,9.870000000000005,['Parent'],['108_Parent_CA-BO-IO'],32,43,2.5323910482921055
222_Child_CA-BO-IO,Child,['CA-BO-IO'],1043.89,1042.38,1.16,['Child'],['222_Child_CA-BO-IO'],3,6,3.9735099337748583
109_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1045.91,1044.08,1.4299999999999997,['Parent'],['109_Parent_CA-BO-IO'],8,15,8.196721311474718
223_Child_CA-BO-IO,Child,['CA-BO-IO'],1053.4,1047.59,4.58,['Child'],['223_Child_CA-BO-IO'],12,16,2.753872633390624
224_Child_CA-BO-IO,Child,['CA-BO-IO'],1068.38,1062.17,3.4300000000000006,['Child'],['224_Child_CA-BO-IO'],2,6,0.9661835748792214
110_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1078.74,1078.0,0.74,['Parent'],['110_Parent_CA-BO-IO'],4,7,9.459459459459342
225_Child_CA-BO-IO,Child,['CA-BO-IO'],1080.58,1079.0,1.3900000000000001,['Child'],['225_Child_CA-BO-IO'],3,8,5.063291139240739
112_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1089.28,1081.5,5.679999999999999,['Parent'],['112_Parent_CA-BO-IO'],25,31,3.9845758354755922
113_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1102.47,1092.41,6.540000000000003,['Parent'],['113_Parent_CA-BO-IO'],24,41,4.075546719681931
114_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1132.89,1110.5,12.930000000000001,['Parent'],['114_Parent_CA-BO-IO'],49,79,3.5283608753907836
115_Parent_CA-BO-IO,Parent,['CA-BO-IO'],1133.79,1133.03,0.58,['Parent'],['115_Parent_CA-BO-IO'],3,3,3.947368421052679
229_Child_CA-BO-IO,Child,['CA-BO-IO'],1140.74,1134.02,5.62,['Child'],['229_Child_CA-BO-IO'],10,18,2.6785714285714177
